dataset,fold,model,best_params,MAE,RMSE,MdAE,MASE,MdASE
NASA93,26,GradientBoosting,"{""regressor__model__learning_rate"": 0.1, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 1.0}",334.17994916005483,581.9615204490324,44.21564652769433,0.6124786688522346,0.22331134609946632
NASA93,26,DummyMean,{},584.6401137980084,725.0805287895872,559.0945945945946,1.0715173054416907,2.8237100737100738
NASA93,26,DummyMedian,{},492.7631578947368,809.284553105233,186.0,0.903126964275891,0.9393939393939394
NASA93,26,TabPFN,{},261.171362475345,446.31744740570235,85.58502197265625,0.4786699167118801,0.4322475857204861
NASA93,26,TabICLv2,{},317.6969853953311,558.8622870676776,51.9720458984375,0.582269005673064,0.2624850802951389
NASA93,26,TabDPT,{},339.6382569262856,577.2660777875018,84.58053588867188,0.6224825517400306,0.427174423680161
NASA93,27,ElasticNet,"{""regressor__model__alpha"": 0.01, ""regressor__model__l1_ratio"": 0.9}",643.4984013173387,1874.064348496953,123.37051771022891,1.2537982579505123,0.6597353888247536
NASA93,27,RandomForest,"{""regressor__model__max_depth"": null, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",402.98912161628044,858.8784063561734,51.01038089863647,0.7851877450218079,0.2727827855542057
NASA93,27,GradientBoosting,"{""regressor__model__learning_rate"": 0.05, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 1.0}",397.71909780582706,813.4774937208173,85.84748413079188,0.7749195817142107,0.45907745524487636
NASA93,27,DummyMean,{},688.3972261735419,1123.4865982861925,447.66081081081086,1.3412795450422754,2.393908079202197
NASA93,27,DummyMedian,{},622.5052631578948,1223.3885831015252,185.0,1.2128950327065307,0.9893048128342246
NASA93,27,TabPFN,{},329.3734386845639,626.5089857835941,57.584320068359375,0.6417542651115656,0.30793754047251004
NASA93,27,TabICLv2,{},284.73727545487253,548.55675509289,43.84356689453125,0.554784750370871,0.23445757697610295
NASA93,27,TabDPT,{},339.1831850754587,665.6160265447668,110.984130859375,0.6608676660316946,0.5934980259859626
NASA93,28,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.5}",881.872394845367,2068.817563520022,160.84560174755882,2.008629270080032,0.8421235693589467
NASA93,28,RandomForest,"{""regressor__model__max_depth"": 16, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",682.4782286574176,1747.010170747093,67.43416774226742,1.5544717742457903,0.35305846985480327
NASA93,28,GradientBoosting,"{""regressor__model__learning_rate"": 0.03, ""regressor__model__max_depth"": 3, ""regressor__model__n_estimators"": 200, ""regressor__model__subsample"": 0.7}",650.4861974267923,1691.641666002984,47.976465946165206,1.4816039413090123,0.25118568558201676
NASA93,28,DummyMean,{},962.1357752489333,1996.7469690360945,480.4256756756756,2.1914441264430553,2.5153176736946365
NASA93,28,DummyMedian,{},907.8526315789474,2081.3805782650484,222.0,2.0678041169759123,1.162303664921466
NASA93,28,TabPFN,{},515.2332209637291,1376.3009443203466,98.38107299804688,1.1735399980706132,0.515084151822235
NASA93,28,TabICLv2,{},519.771021953382,1277.684360203672,90.43619995117189,1.1838756882939285,0.4734879578595387
NASA93,28,TabDPT,{},529.5414714411686,1371.7271472634209,144.77935791015625,1.206129713862387,0.7580071094772578
NASA93,29,ElasticNet,"{""regressor__model__alpha"": 0.001, ""regressor__model__l1_ratio"": 0.5}",1680.657171302511,3711.107155350547,103.74328305773051,3.001237832422321,0.5135806091966857
NASA93,29,RandomForest,"{""regressor__model__max_depth"": 8, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 300}",347.3659673033277,602.183699461661,104.14486903780497,0.6203096625344251,0.5155686586029948
NASA93,29,GradientBoosting,"{""regressor__model__learning_rate"": 0.1, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 200, ""regressor__model__subsample"": 0.7}",380.62081917376617,664.5076774528496,75.0394105639717,0.679694599123135,0.3714822305147114
NASA93,29,DummyMean,{},503.18888888888887,624.3014737911307,540.02,0.898570842391067,2.6733663366336633
NASA93,29,DummyMedian,{},429.6222222222222,674.9972938217358,199.0,0.7671989796606752,0.9851485148514851
NASA93,29,TabPFN,{},358.2925094392565,648.8089061045484,105.7392692565918,0.6398217630364516,0.5234617289930287
NASA93,29,TabICLv2,{},351.27534311082627,623.9171849434159,114.01197814941406,0.6272908403587688,0.5644157334129409
NASA93,29,TabDPT,{},402.653907945421,795.4148607575592,142.6487274169922,0.7190402436220437,0.706181818896001
NASA93,30,ElasticNet,"{""regressor__model__alpha"": 0.01, ""regressor__model__l1_ratio"": 0.9}",90.15527073734754,134.15486637311588,50.637425524488236,0.14750696027009597,0.210989273018701
NASA93,30,RandomForest,"{""regressor__model__max_depth"": 8, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",50.80453880727201,78.44054558603013,28.402927249786387,0.0831235159752048,0.11834553020744328
NASA93,30,GradientBoosting,"{""regressor__model__learning_rate"": 0.1, ""regressor__model__max_depth"": 3, ""regressor__model__n_estimators"": 200, ""regressor__model__subsample"": 0.7}",54.136948027718766,78.80172816079671,27.271551389981806,0.08857581566288697,0.11363146412492418
NASA93,30,DummyMean,{},488.10622222222224,538.1727555249646,601.284,0.7986118231365235,2.50535
NASA93,30,DummyMedian,{},221.37777777777777,237.01043577586762,245.0,0.3622058123088893,1.0208333333333333
NASA93,30,TabPFN,{},38.61921428044637,58.35519992654032,16.436601638793945,0.06318657644680849,0.06848584016164144
NASA93,30,TabICLv2,{},35.82179379463196,55.33972848748938,17.949684143066406,0.058609595100238804,0.07479035059611003
NASA93,30,TabDPT,{},51.87613795598348,74.61822064883503,33.44549751281738,0.08487680595771684,0.1393562396367391
NASA93,31,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.5}",604.491322230369,914.6164112764634,210.5331414872799,1.1838247683696819,1.1318986101466662
NASA93,31,RandomForest,"{""regressor__model__max_depth"": 8, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",352.13624179025004,607.5288749355906,132.08354935352097,0.6896171864532518,0.710126609427532
NASA93,31,GradientBoosting,"{""regressor__model__learning_rate"": 0.1, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 0.7}",323.4845274264001,540.4249310738501,180.42236467241486,0.6335061921795363,0.970012713292553
NASA93,31,DummyMean,{},655.5615220483642,808.2544750730588,550.7337837837838,1.2838397152295662,2.9609343214181925
NASA93,31,DummyMedian,{},629.078947368421,931.0442425464793,227.5,1.2319767245076434,1.2231182795698925
NASA93,31,TabPFN,{},339.453922070955,531.9562922132596,178.60371017456055,0.6647803630747301,0.9602350009384976
NASA93,31,TabICLv2,{},367.4127116956209,542.185380794582,156.18768310546875,0.7195343461909727,0.8397187263734879
NASA93,31,TabDPT,{},387.3964215328819,568.1035448284158,190.849365234375,0.7586700786643112,1.0260718560987903
NASA93,32,ElasticNet,"{""regressor__model__alpha"": 1.0, ""regressor__model__l1_ratio"": 0.1}",1274.7808384127509,4796.6576050944805,125.90169021008855,2.3105564669361813,0.5995318581432788
NASA93,32,RandomForest,"{""regressor__model__max_depth"": null, ""regressor__model__max_features"": 0.6, ""regressor__model__min_samples_leaf"": 1, ""regressor__model__n_estimators"": 600}",399.72690768510006,786.4027689551117,97.50914684282588,0.7245100990929452,0.46432927068012325
NASA93,32,GradientBoosting,"{""regressor__model__learning_rate"": 0.1, ""regressor__model__max_depth"": 2, ""regressor__model__n_estimators"": 400, ""regressor__model__subsample"": 1.0}",440.7836466868602,868.0841269643132,59.09700262656028,0.798925960198878,0.28141429822171565
NASA93,32,DummyMean,{},561.642745376956,990.192126709251,447.8013513513514,1.0179846122054297,2.1323873873873875
NASA93,32,DummyMedian,{},469.36842105263156,1031.7415751508402,205.0,0.8507362269338097,0.9761904761904762
NASA93,32,TabPFN,{},298.66728571841594,591.2583937483075,57.41217041015625,0.5413382502189167,0.2733912876674107
NASA93,32,TabICLv2,{},340.08633884630706,622.0302471780019,65.21588134765625,0.6164108102820103,0.3105518159412202
NASA93,32,TabDPT,{},432.1480028453626,850.9201321644059,45.056793212890625,0.7832737460120269,0.21455615815662202
